"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09","2019-10"
"New Jersey",11,329900,329900,339000,335000,334900,330000,329000,325000,320000,319000,315000,304999,299900,299500,299900,299900,299900,299900,299000,299000,295000,289999,285000,279900,279000,279900,288000,285900,289000,285000,279900,279000,279900,275000,274900,269900,269000,274900,279000,285000,290000,289999,289900,287925,285000,280000,279000,275000,272500,275000,285000,295000,299000,299500,299000,297000,298000,294900,289500,280000,279900,280000,289000,299000,299500,299900,314900,3e+05,3e+05,299900,299000,289000,284000,289000,299000,309000,315000,318000,314900,301000,3e+05,299900,299000,287900,284999,289700,299000,305000,314900,315800,315000,309000,309900,305000,299900,297900,290000,299900,309900,324900,329000,335000,334900,329700,329900,329900,327000,319900,319000,317900,329000,339000,340000,349000,344900,339900,345000,345000
"Virginia",12,243000,240000,244900,245000,245000,244900,239900,239000,239500,237500,235000,229000,225000,224900,229900,230000,236000,239000,235000,235000,233900,230000,229400,224900,224990,226482,230000,234900,238432.5,239000,235000,231000,229900,229778.5,229000,225000,225000,229900,237500,247000,249900,249900,249500,246000,245000,240599,239500,236925,237900,239000,249000,259000,265000,267950,265500,265000,264900,259990,259620.5,250000,249900,258900,265071,275000,279900,279990,274900,275000,275000,275000,270000,269877.5,265950,259990,279000,289900,293000,290900,289500,284900,282950,279900,278990,274900,269999,279000,289900,299900,300920,302900,299900,299000,299000,299900,299000,289900,289900,295000,299990,312950,315000,315000,310000,304999,305000,304790,299990,299000,294900,299900,312990,319999,320000,320000,315000,310000,310000,309900
"Washington",13,279950,279500,279900,278894,279000,279000,275000,275000,269950,265950,260000,254000,249700,245000,244950,239900,239900,239950,239950,239900,239500,234900,229000,224950,223500,225000,229900,234995,239687,244500,244900,244950,239995,239990,239512.5,235000,234950,239200,244500,249900,258900,260000,265000,264950,265000,265000,259950,258000,252000,257950,264950,269950,275000,280000,282750,284900,283925,279900,275000,270000,269950,274900,279900,289000,294900,296000,295000,299000,299000,299000,296400,294500,290000,294000,299000,3e+05,312500,319900,320000,319950,319950,324000,319950,319000,319000,325000,335000,344900,350000,357000,358000,354900,359000,359000,357900,350000,349950,362678,375000,384000,390000,397000,395000,394500,398000,398500,397050,395000,395000,399500,415000,420000,425000,425000,422950,415470,419900,419000
"Massachusetts",14,334900,334900,334900,334900,334900,330000,329900,329000,325000,323500,319838,304900,299900,299900,309900,311000,319900,324900,319000,315000,317500,313900,299900,299000,299900,299900,315000,324900,325000,325000,319900,319000,320000,319900,324000,319000,315000,325000,329900,339900,349000,349900,349000,339900,339900,340000,339900,339000,334900,344900,349000,349900,359000,354900,349900,349000,349000,349900,349900,344900,339900,344900,349900,359000,362500,366000,359900,359000,359900,359900,359900,350000,350000,359900,379000,389900,395000,399000,389900,387000,389900,399000,397000,389000,386995,399000,414900,425000,429000,429900,425000,419900,424900,424900,420000,419000,419000,424900,435000,449000,450000,450000,449000,439000,444900,440000,439900,438500,435000,439900,454900,474900,479900,479900,472500,459900,467648,465000
"Indiana",15,129900,129900,129900,129900,130000,132500,129900,129900,129900,129900,129900,126900,125000,127900,129500,129900,129900,130000,130000,129900,129900,129900,129000,125000,124930,124900,125000,126900,127900,128500,128000,125000,124900,124900,124500,122400,120000,124500,127500,129900,129990,132000,130000,129900,129900,129900,129000,125000,124990,126900,130000,134900,139000,139900,139900,139500,137856,135000,134900,130000,132000,134900,138899.5,139900,140000,142500,140000,139900,139900,139000,138500,134900,134900,134900,139000,140900,145000,149000,149500,145000,145000,145000,144900,144900,144000,146900,154900,161900,167900,169500,169900,168994.5,169900,169900,169000,166900,169900,169900,175000,180000,185000,189000,184900,183900,179999,179900,179500,175000,177900,179900,185000,189900,194900,195000,194900,191000,189900,189000
"Arizona",16,181950,179900,175845,175000,170900,168900,164900,162000,159900,155000,153500,149900,149000,145900,146880,145000,149000,149000,149000,149900,149900,150000,152500,150236,155000,159900,164900,170000,172900,174950,175000,175000,175000,179000,180000,184900,185000,189999,196000,199989,209000,210000,213970,210000,214900,215000,215000,215000,219000,219900,224900,226445,229750,229500,228900,228000,229000,229900,229900,229900,230000,234900,238990,242000,246500,247500,240900,248000,249000,249900,249900,249900,249900,249900,250000,257500,259900,259995,259900,259000,259900,259900,259900,259500,259900,264900,265000,270000,274900,274900,274000,271500,274500,275000,275000,275000,275000,279900,279990,285000,285900,287000,285000,285000,285000,287000,287499.5,286990,289000,288990,289900,295000,295000,295422,293999.5,290995,295000,295900
"Tennessee",17,169900,169900,169900,169900,169900,169900,169000,167000,167500,164900,165000,163500,159900,159900,159900,159900,161900,159900,159900,159900,159900,159900,159900,159000,156900,155000,158900,159900,159000,159000,159000,155000,145000,148281,154900,153000,154000,156974.5,159900,162900,165500,168000,168000,165000,165000,165000,164900,164900,164000,164900,169000,169900,174900,174900,174900,174900,172900,173500,174000,171500,170000,174900,171575,179000,185000,187000,188500,185000,185000,183000,184900,180000,184900,182950,185900,192500,198500,199900,2e+05,199900,199900,199900,199900,199900,199900,2e+05,209950,218500,224800,225000,227000,225000,228900,227900,229500,228000,229000,229900,232900,239900,240000,245000,244900,239900,244900,245000,247990,245000,245000,246227.5,249900,255000,258900,259900,259000,255988.5,255500,255000
"Missouri",18,149900,149900,149900,149900,149900,149900,149000,147900,147500,145000,144900,139900,138600,138000,139900,139900,144900,145000,144900,142500,139900,139900,139900,135900,139000,135000,136500,139350,139900,139000,137900,135900,134900,134900,135000,130000,129900,134900,137500,139900,141900,140000,139920,139900,139900,139900,138900,135000,135000,139000,140000,144950,149300,148990,147500,145000,145000,144900,142500,139900,139900,144000,148000,149900,150000,149900,149900,149000,149500,149000,148000,144900,144900,147500,149900,157900,159900,159900,159900,159000,157700,157900,156000,154900,154900,157500,160000,168000,170000,174900,174900,171400,170000,170000,169900,169500,169900,169900,175000,182500,184000,182500,184900,182000,182500,180000,179900,179000,178900,179900,187900,189999,193500,193000,189900,189900,189900,189900
"Maryland",19,259900,259900,259900,264900,260000,259900,252000,249900,249500,249000,245000,235000,230000,229900,235000,239000,243000,247000,245000,245000,244000,244000,240000,239995,239900,239990,249800,249900,250000,254000,250000,250000,249900,249900,249900,240000,241000,249000,250000,259900,269900,270000,269900,269000,269900,269900,265000,269000,259900,259900,269000,275000,282000,284900,283000,279900,279900,275000,274284,265000,260000,264900,269900,276000,280995,283000,275997.5,279900,282500,275000,274900,269900,269000,267878,279000,289900,295000,295000,294900,289900,289999,293500,289996.5,280000,279900,285000,298000,307817,310900,310000,310000,309000,309900,309825,3e+05,299900,299000,299900,309900,319900,324990,325000,325000,320000,319900,319000,314950,309900,3e+05,306000,319000,327750,330000,330500,329990,325000,325000,325000
"Wisconsin",20,176000,178800,176900,175000,177500,175900,176500,175000,175000,174900,174500,169500,165000,165900,168000,168500,169900,169900,169000,168000,165000,164500,159900,156900,154900,154500,155000,158900,159000,159000,157900,155000,154000,150000,149900,149500,149900,154000,155000,159900,161900,164900,164900,163000,160000,159900,159900,156900,154900,155000,159900,163300,166900,169900,169900,169900,169000,167900,164900,160000,159900,164900,167900,169900,174500,174900,174900,174900,174900,174000,169999,169900,169900,169900,174900,179500,182500,184900,185000,184900,183000,180000,179900,179800,179000,179900,185000,189900,195000,199900,199000,198000,195000,194900,191900,189900,195000,199900,199900,209000,214000,214900,209900,205000,204900,2e+05,199900,199900,199900,209900,216140,219900,220000,224900,224000,219900,219900,219000
